name,issns,active,withdrawn_date,withdrawal_reason
Pan-African Journal of Health and Environmental Science,2789-620X;2789-6196,true,,
PanAfrican Journal of Governance and Development,2707-1316;2707-1308,true,,
People-Centered - the Journal of Development Administration,2788-8169;2218-4899,true,,
Pharmacology and Toxicology of Natural Medicines,2756-6838,true,,
Physics Access,2756-3898;2714-500X,true,,
Physics Access,2756-3898;2714-500X,true,,
Postgraduate Medical Journal of Ghana,2343-6921;2026-6790,true,,
Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,1727-3781,true,,
Proceedings of the Nigerian Academy of Science,2705-327X;0794-7976,true,,
Project Management and Scientific Journal,2590-9681,true,,
Regional Journal of Information and Knowledge Management,2412-6535,true,,
Research in Hospitality Management,2415-5152;2224-3534,true,,
Research Journal of Health Sciences,2467-8252;2360-7793,true,,
Revista Academicus: Revista multidisciplinar,3005-3633,true,,
Revista Angolana de Ciências,2664-259X,true,,
Revista Angolana de Ciências da Saúde,2789-2832;2789-2824,true,,
Revista Científica da Clínica Sagrada Esperança,3006-4457;2312-3923,true,,
Revue Africaine d'Ethnobiologie & Ethnomedecine,3107-3263;3135-1328,true,,
Revue Africaine des Sciences Sociales et de la Sante Publique,1987-1023;1987-071X,true,,
Revue algérienne des lettres,2661-7447;2602-621X,true,,
Revue Camerounaise d'Etudes Internationales (Cameroonian Review of International Studies),2618-1487,true,,
Revue Congolaise de Sciences et Technologies,2959-202X;2960-2629,true,,
Revue Congolaise des Sciences Humaines et Sociales,2957-6393;2957-6385,true,,
Revue des Sciences de la Santé,3078-6959;3078-8226,true,,
"Revue Economie, Gestion et Société",2458-6250,true,,
Revue Ecosystèmes et Paysages,2790-3230,true,,
Revue Internationale Dônni,1987-1457;1987-1406,true,,
Revue Libregeoise d'Etudes Scientifiques,3078-7033;3078-7025,true,,
Revue Marocaine de Recherche en Management et Marketing,2458-665X;2028-5175,true,,
Revue Marocaine des Sciences Agronomiques et Vétérinaires,2550-4401;2028-991X,true,,
Rural Planning Journal,2507-7848,true,,
Rwanda Journal of Medicine and Health Sciences,2616-9827;2616-9819,true,,
Rwanda Public Health Bulletin,2663-4651;2663-4643,true,,
SA Journal of Radiology,2078-6778;1027-202X,true,,
SAHARA-J: Journal of Social Aspects of HIV/AIDS,1813-4424;1729-0376,true,,
"SAPIENTIAE Revista de Ciências Sociais, Humanas e Enghenerias",2184-061X;2183-5063,true,,
Science Mundi,2788-5844,true,,
"Science, Technology and Arts Research Journal",2226-7522;2305-3372,true,,
Scientia Militaria: South African Journal of Military Studies,2224-0020;1022-8136,true,,
Social Empowerment Journal,2716-9006;2676-234X,true,,
Sokoto Journal of Medical Laboratory Science,2536-7153,true,,
South African Journal of Chemistry,1996-840X;0379-4350,true,,
South African Journal of Clinical Nutrition,2221-1268;1607-0658,true,,
South African Journal of Education,2076-3433;0256-0100,true,,
South African Journal of Occupational Therapy,0038-2337;2310-3833,true,,
South African Journal of Occupational Therapy,2310-3833;0038-2337,true,,
South African Journal of Psychiatry,2078-6786;1608-9685,true,,
South African Journal of Sports Medicine,2078-516X;1015-5163,true,,
South African Medical Journal,2078-5135;0256-9574,true,,
Southern African Journal of Critical Care,2078-676X;1562-8264,true,,
Southern African Journal of Environmental Education,2411-5959;0256-7504,true,,
Southern African Journal of HIV Medicine,2078-6751;1608-9693,true,,
SynthÃ¨se: Revue des Sciences et de la Technologie,2352-9717;1111-4924,true,,
Tanzania Journal of Community Development,2773-675X;2773-6725,true,,
Tanzania Veterinary Journal,2714-206X;0856-1451,true,,
The Journal of Informatics,2953-254X;2714-1993,true,,
The Retail and Marketing Review,2708-3209,true,,
Town and Regional Planning,2415-0495;1012-280X,true,,
Tropical Journal of Natural Product Research,2616-0692;2616-0684,true,,
Tropical Journal of Nephrology,2651-5970;2006-490X,true,,
Turf Law Journal,2790-7783;2789-746X,true,,
Uganda Higher Education Review Journal,1813-2243;2958-5473,true,,
Uirtus: Peer-reviewed Journal of Arts and Humanities,2710-4699,true,,
Umudike Journal of Engineering and Technology,2536-7404,true,,
